Type,Maker,Name,Release date,Android version,Resolution,Display (inches),Display (mm),System on Chip,RAM (MiB),Internal storage (GiB),MicroSD slot,Rear camera (Mpx),Front camera (Mpx),Networks,Connectivity,"Special features,
notes"
Smartphone,HTC,Desire S,4/1/11,2.3 with HTC Sense 3.0 planned upgrade to 4.0,800x480 WVGA,3.7 in ,94 mm,Snapdragon S2 MSM8255,768,,Yes,5,0.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v2.1 with A2DP, A-GPS, 
GPS",Super LCD
Smartphone,HTC,Incredible S,2/1/11,"2.2 with HTC Sense UI, upgradeable to 2.3",800x480 WVGA,4.0 in ,100 mm,Snapdragon S2 MSM8255,768,1,Yes,8,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v2.1 with A2DP and EDR, 
A-GPS",Super LCD
Smartphone,HTC,Sensation,5/1/11,"2.3 with HTC Sense 3.0, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,Snapdragon S3 MSM8260,768,1,Yes,8,0.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, GPS, HDMI support (via MHL link)",Super LCD
Smartphone,HTC,Evo 3D,8/1/11,"2.3 with HTC Sense 3.0, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,Snapdragon S3 MSM8660,1024,,Yes,5,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS",3D Super LCD
Smartphone,HTC,Sensation XE,10/1/11,"2.3 with HTC Sense 3.0, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,Snapdragon S3 MSM8260,768,4,Yes,8,0.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, GPS","Super LCD, Beats Audio enhancements and Beats headset"
Smartphone,HTC,Sensation XL,10/1/11,"2.3 with HTC Sense 3.5, upgradeable to 4.0",800x480 WVGA,4.7 in ,120 mm,Snapdragon S2 MSM8255,768,16,,8,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, GPS, HDMI support (via MHL link)","Super LCD, Beats Audio enhancements and Beats headset"
Smartphone,HTC,Amaze 4G,10/1/11,"2.3 with HTC Sense 3.0, upgradeable to 4.0",960x540 qHD,4.3 in ,110 mm,Snapdragon S3 APQ8060,1024,16,Yes,8,2,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 1700 / 1900 / 2100, LTE","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link)","Super LCD, For T-Mobile, 4G connectivity support"
Smartphone,HTC,Vivid,11/1/11,"2.3 with HTC Sense UI, upgradeable to 4.0",960x540 qHD,4.5 in ,110 mm,Snapdragon S3 APQ8060,1024,16,Yes,8,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100, LTE","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link)","Super LCD, For AT&T, 4G connectivity support"
Smartphone,HTC,Rezound,11/1/11,"2.3 with HTC Sense 3.5, upgradeable to 4.0",1280x720 HD,4.3 in ,110 mm,Snapdragon S3 MSM8660,1024,16,Yes,8,2,"CDMA 800 / 1900, CDMA2000 1xEV-DO, LTE 700","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link)","Super LCD, For Verizon Wireless, 4G connectivity support"
Smartphone,HTC,Explorer,10/1/11,2.3 with HTC Sense UI,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7225A,512,0.15,Yes,3.15,,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Bluetooth v4.0 with A2DP, GPS",TFT LCD
Smartphone,HTC,Desire C,6/1/12,4.0 with HTC Sense 4.0,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7225A,512,4,Yes,5,,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Bluetooth v4.0 with A2DP, GPS","TFT LCD, Beats Audio sound enhancements"
Smartphone,HTC,Desire V,6/1/12,4.0 with HTC Sense 4.0,800x480 WVGA,4.0 in ,100 mm,Snapdragon S1 MSM7227A,512,4,Yes,5,,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v4.0 with A2DP, A-GPS, GPS","Super LCD, Beats Audio sound enhancements, Dual SIM card (dual stand-by)"
Smartphone,HTC,One V,4/1/12,4.0 with HTC Sense 4.0,800x480 WVGA,3.7 in ,94 mm,Snapdragon S2 MSM8255,512,4,Yes,5,,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Bluetooth v4.0 with A2DP, A-GPS","Super LCD, Beats Audio sound enhancements"
Smartphone,HTC,One S,4/1/12,"4.0 with HTC Sense 4.0, planned upgrade to 4.1",960x540 qHD,4.3 in ,110 mm,Snapdragon S4 Plus MSM8260A,1024,16,,8,0.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link)","Super AMOLED, Beats Audio sound enhancements"
Smartphone,HTC,One X,4/1/12,"4.0 with HTC Sense 4.0, upgradeable to 4.1 (HTC Sense 4+)",1280x720 HD,4.7 in ,120 mm,Tegra 3 T30,1024,32,,8,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link), NFC","Super IPS LCD, Beats Audio sound enhancements, Optional 4G support"
Smartphone,HTC,One XL,4/1/12,"4.0 with HTC Sense 4.0, planned upgrade to 4.1",1280x720 HD,4.7 in ,120 mm,Snapdragon S4 Plus MSM8960,1024,16,,8,1.3,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP and EDR, 
A-GPS, HDMI support (via MHL link), NFC","Super IPS LCD, Beats Audio sound enhancements, Optional 4G support"
Smartphone,HTC,Evo 4G LTE,5/1/12,4.0 with HTC Sense 4.0,1280x720 HD,4.7 in ,120 mm,Snapdragon S4 Plus MSM8960,1024,16,Yes,8,1.3,"CDMA 800 / 1900, CDMA2000 1xEV-DO, LTE 800 / 1900","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, Wi-Fi Direct, DLNA, Bluetooth v4.0 with 
A2DP and EDR, A-GPS, HDMI support (via MHL link), NFC","Super IPS LCD, For Sprint, Beats Audio sound enhancements, 4G connectivity 
support"
Smartphone,HTC,Desire X,4/1/12,4.0 with HTC Sense 4.0,800x480 WVGA,4.0 in ,100 mm,Snapdragon S4 Play MSM8225,768,4,Yes,5,,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v4.0 with A2DP, A-GPS","Super LCD, Beats Audio sound enhancements"
Smartphone,HTC,One X+,10/1/12,4.1 with HTC Sense 4+,1280x720 HD,4.7 in ,120 mm,Tegra 3 T33,1024,32,,8,1.6,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Wi-Fi Direct, Bluetooth v4.0 with 
A2DP and EDR, A-GPS, HDMI support (via MHL link), NFC","Super IPS LCD, Beats Audio sound enhancements"
Smartphone,HTC,HTC One,3/1/13,4.1.2 Jelly Bean upgradeable to 4.2.2 (Google Edition 4.2.2),1920x1080 HD,4.7 in ,120 mm,Snapdragon 600,2048,32 or 64 GB,No,4,2.1,,"Wi-Fi 802.11 a/b/g/n/ac (2.4/5 GHz), NFC, Bluetooth: 4.0 with apt-X, MHL 
2.0, wireless HDMI, GPS","Dual front-facing speakers, Infrared Blaster, ""UltraPixel"" image sensor"
Smartphone,HTC,HTC One M8,8/26/08,4.4.2 KitKat,1920x1080 HD,5.0 in ,130 mm,Snapdragon 801 MSM8974-AB (International) / MSM8974-AC (Asia),2048,16 or 32,Yes,4,5,,"Wi-Fi 802.11 a/b/g/n/ac (2.4/5 GHz), NFC, Bluetooth: 4.0 with apt-X, MHL 
2.0, wireless HDMI, GPS","Dual front-facing speakers, Infrared Blaster, ""UltraPixel"" image sensor, 
2MP Rear depth of field sensor"
Smartphone,HTC,HTC One Mini,1/27/08,4.2.2 Jelly Bean,1280x720 HD,4.3 in ,110 mm,Snapdragon 400,1024,16,No,4,1.6,,"Wi-Fi 802.11 a/b/g/n (2.4/5 GHz), Bluetooth: 4.0 with apt-X, GPS",-
Smartphone,HTC,"Butterfly
(Droid DNA in the US, J Butterfly in the JP)",12/1/12,"4.1.2 with HTC Sense 4+, upgradeable to 4.2.2",1920x1080 FHD,5.0 in ,130 mm,Snapdragon S4 Pro APQ8064,2048,16,,8,1.6,"GSM 850 / 900 / 1800 / 1900, 3G HSDPA 900 / 2100","Wi-Fi 802.11 b/g/n, Wi-Fi hotspot, DLNA, Wi-Fi Direct, Bluetooth v4.0 with 
A2DP and EDR, A-GPS, HDMI support (via MHL link), NFC","Super IPS LCD, Beats Audio sound enhancements, Optional 4G connectivity 
support"
Smartphone,Karbonn,A15,12/6/12,4,800x480 WVGA,4.0 in ,100 mm,Snapdragon S1 MSM7627A,512,4,Yes,3.2,,"2G (GSM 900, 1800, 1900), HSDPA 2100","GPS, Wifi b/g, Bluetooth",Essentially K-Touch W719
Smartphone,LG,G2X,4/15/11,"2.2, can upgrade to 2.3",800x480 WVGA,4.0 in ,100 mm,Tegra 2 250 AP20H,512,8,Yes,8,1.3,"quad-band 2G (GSM 850 900, 1800 1900), one-band 3G (AWS; UMTS 1700 2100)","DLNA, GPS, stereo Bluetooth","Essentially T-Mobile USA-branded Optimus 2X. HDMI output. Full HD 1080p 
video playback"
Smartphone,LG,"GW620 Eve,
GW620 Linkme",11/5/09,1.5,480x320 HVGA,3.0 in ,76 mm,528 MHz,,,,5,,GPRS EDGE,Bluetooth for headphone only,First LG Android phone. Slide out keyboard.
Smartphone,LG,"GT540 Optimus,
GT540 Swift",5/31/10,"1.6, can upgrade to 2.1",480x320 HVGA,3.0 in ,76 mm,"600 MHz ARMv6, Adreno 200 GPU",,,Yes,3,,3G HSDPA,"Wi-Fi, Bluetooth",Smartphone with a 3.5 mm headphone jack
Smartphone,LG,KH5200 Andro-1,3/1/10,1.6,480x320 HVGA,3.0 in ,76 mm,,,,,,,,,
Smartphone,LG,LS670 Optimus S,11/7/10,2.3,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7627,512,,Yes,3.2,,CDMA EVDORev. A,"Wi-Fi b/g, mobile hotspot, Bluetooth 2.1","TFT LCD, Adreno 200 graphics"
Smartphone,LG,LU2300 Optimus Q,6/5/10,1.6,800x480 WVGA,3.5 in ,89 mm,Snapdragon S1 QSD8250,512,,Yes,5,,"2G CDMA 800 1900, 3G CDMA2000 1xEV-DO and HSDPA 2100","Wi-Fi b/g, mobile hotspot, Bluetooth 2.1","AMOLED touchscreen LCD, Mobile TV tuner[5]"
Smartphone,LG,P509 Optimus T,11/3/10,2.2,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7627,512,,Yes,3.2,,,"Wi-Fi b/g, mobile hotspot, Bluetooth 2.1","TFT LCD, Adreno 200 graphics"
Smartphone,LG,VM670 Optimus V,2/1/11,2.2,480x320 HVGA,3.2 in ,81 mm,Snapdragon S1 MSM7627,512,,Yes,3.2,,,"Wi-Fi b/g, Bluetooth 2.1",TFT LCD
Smartphone,LG,LG Optimus ME P350,2/1/11,2.3,320x240 QVGA,3.2 in ,81 mm,Snapdragon S1 MSM7227,,,Yes,2,,,"Wi-Fi b/g, Bluetooth 2.1",TFT LCD
Smartphone,LG,"VS740 (US740),
Ally,
Aloha",5/20/10,2.2 (with up dates),800x480 WVGA,3.2 in ,81 mm,Snapdragon S1 MSM7627,512,,Yes,3,,,"Wi-Fi b/g, Bluetooth 2.1",LCD
Smartphone,LG,KU9500 Optimus Z,7/1/10,2.1,800x480 WVGA,3.5 in ,89 mm,Snapdragon S1 QSD8250,,,,5,,,Mobile TV tuner,AMOLED
Smartphone,LG,P970 Optimus Black,5/1/11,"2.2, upgradeable to 2.3",800x480 WVGA,4.0 in ,100 mm,OMAP 3 OMAP3630,512,,Yes,5,2,"quad-band 2G (GSM 850 900, 1800 1900), tri-band 3G (HSDPA 900 1700 2100 or 
HSDPA 900 1900 2100)","Wi-Fi b/g, mobile hotspot, Bluetooth 2.1, DLNA",IPS LCD
Smartphone,LG,Optimus 2X,2/1/11,"2.2, upgradeable to 2.3, upgradeable to 4.0",800x480 WVGA,4.0 in ,100 mm,Tegra 2 250 AP20H,512,8,Yes,8,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot; Bluetooth v2.1 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, HDMI, A-GPS",IPS LCD multi-touch capacitive touchscreen with Gorilla Glass
Smartphone,LG,Optimus 3D,7/1/11,2.3,800x480 WVGA,4.3 in ,110 mm,OMAP 4 OMAP4430,512,8,Yes,5,0.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100 up to 21.1 Mbit/s","Wi-Fi 802.11b/g/n with DLNA, hotspot; Bluetooth 3.0, Micro-USB 2.0, 3.5 mm 
audio jack, HDMI, A-GPS","IPS LCD 3D (stereoscopic) multi-touch capacitive touchscreen with Gorilla 
Glass; First smartphone-â€‹communicator with 3D stereoscopic features: 
display, camera"
Smartphone,LG,Prada 3.0,1/1/12,2.3,,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,8,Yes,8,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot; Bluetooth v3.0 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, HDMI support, A-GPS",IPS LCD multi-touch capacitive touchscreen with Gorilla Glass
Smartphone,LG,Optimus LTE,1/1/12,"2.3, upgradeable to 4.0",1280x720 HD,4.5 in ,110 mm,Snapdragon S3 MSM8660,1024,4,Yes,8,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot; Bluetooth v3.0 with A2DP and HS 
(High-Speed) support, Micro-USB v2.0, 3.5 mm audio jack, HDMI support, A-GPS",IPS LCD multi-touch capacitive touchscreen with Gorilla Glass
Smartphone,LG,Optimus L3,2/1/12,2.3 with Optimus UI,,3.2 in ,81 mm,Snapdragon S1 MSM7225A,384,1,Yes,3.15,,"GSM 850, 900, 1800, 1900, HSPA 900, 2100","Wi-Fi 802.11b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, A-GPS",
Smartphone,LG,Optimus L5,6/1/12,4.0 with Optimus UI,,4.0 in ,100 mm,Snapdragon S1 MSM7225A,512,4,Yes,5,,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n, Wi-Fi hotspot, Bluetooth v3.0 with A2DP, Micro-USB v2.0, 
3.5 mm audio jack, A-GPS",Dolby mobile sound enhancement
Smartphone,LG,Optimus L7,6/1/12,4.0 with Optimus UI,,4.3 in ,110 mm,Snapdragon S1 MSM7227A,512,4,Yes,5,0.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n, DLNA, Wi-Fi hotspot, Bluetooth v3.0 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, A-GPS","IPS LCD, Dolby mobile sound enhancement"
Smartphone,LG,Optimus L9,10/1/12,4.0 with Optimus UI; upgradeable to 4.1.2,,4.7 in ,120 mm,OMAP 4 OMAP4430,1024,4,Yes,5,0.3,"GSM 850, 900, 1800, 1900, HSPA 900, 2100","Wi-Fi 802.11b/g/n, Wi-Fi hotspot, DLNA, Bluetooth v3.0 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, A-GPS",
Smartphone,LG,Optimus Vu,9/1/12,4.0 with Optimus UI,1024x768 XGA,5.0 in ,130 mm,Snapdragon S3 MSM8660,1024,32,,8,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot; Bluetooth v3.0 with A2DP, Micro-USB 
v2.0, 3.5 mm audio jack, A-GPS","TrueHD-IPS LCD multi-touch capacitive touchscreen with Gorilla Glass, for 
South Korean market the device has dual-core processor instead of quad-core"
Smartphone,LG,Optimus 4X HD,6/1/12,4.0 with Optimus UI,1280x720 HD,4.7 in ,120 mm,Tegra 3 T30,1024,16,Yes,8,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot, Wi-Fi Direct; Bluetooth v4.0 with 
A2DP and LE support, Micro-USB v2.0, 3.5 mm audio jack, HDMI support, A-GPS",TrueHD-IPS LCD
Smartphone,LG,Optimus G,10/1/12,"4.0 with Optimus UI 3.0, upgradeable to 4.1",1280x768 WXGA,4.7 in ,120 mm,Snapdragon S4 Pro APQ8064,2048,32,,13,1.3,"GSM 850 900, 1800 1900, HSPA 900 1900 2100","Wi-Fi 802.11b/g/n with DLNA, hotspot, Wi-Fi Direct; Bluetooth v4.0 with 
A2DP and LE support, Micro-USB v2.0, 3.5 mm audio jack, HDMI support, A-GPS",TrueHD-IPS Plus LCD multi-touch capacitive touchscreen with Gorilla Glass
Smartphone,LG,G2,8/1/13,4.2.2 with Optimus UI 3.0,1920x1080 WUXGA,5.2 in ,130 mm,Snapdragon 800,2048,16/32,"No (international)
Yes (only Korea)",13,2.1,"GSM 850 900, 1800 1900, HSPA 900 1900 2100, LTE 850 900 1800 2100 2600","Wi-Fi 802.11 a/b/g/n/ac dual band with DLNA, hotspot, Wi-Fi Direct; 
Bluetooth v4.0 with A2DP and LE support, Micro-USB v2.0, 3.5 mm audio jack, 
HDMI support, A-GPS","TrueHD-Full HD IPS Plus LCD multi-touch capacitive touchscreen with Gorilla 
Glass"
Smartphone,LG,Google Nexus 4,11/1/12,"4.2 
upgradeable to 4.4",1280x768 WXGA,4.7 in ,120 mm,Snapdragon S4 Pro APQ8064,2048,8 or 16,,8,1.3,,"Wi-Fi 802.11b/g/n with DLNA, hotspot, Wi-Fi Direct; Bluetooth v4.0 with 
A2DP and LE support, Micro-USB v2.0, 3.5 mm audio jack, HDMI support, 
A-GPS, S-GPS & GLONASS support","TrueHD-IPS Plus LCD multi-touch capacitive touchscreen with Gorilla Glass, 
first Android 4.2 smartphone and first LG Nexus device"
Smartphone,LG,Google Nexus 5,3/28/08,4.4,1920x1080,4.95 in,,Snapdragon 800,2048 MB,16 or 32,No,8,1.3,,,First device to have Android 4.4 KitKat.
Smartphone,Motorola,"Atrix 2, MB865",10/16/11,2.3,960x540 qHD,4.3 in ,110 mm,OMAP 4 OMAP4430,1024,8,Yes,8,0.3,"WCDMA 850 1900 2100 MHz, GSM 850 900 1800 1900 MHz","DLNA, audio jack 3.5 mm, Micro-USB 2.0 HS, corporate sync, BOTA, Wi-Fi 
2.4 GHz, 5 GHz 802.11 b/g/n, Bluetooth 2.1 EDR, 
HSDPA at 21.1 Mbit/s",Feature webtop and laptop dock integration
Smartphone,Motorola,"Atrix 4G, MB860",2/22/11,2.2-2.3,960x540 qHD,4.0 in ,100 mm,Tegra 2 250 AP20H,1024,16,Yes,5,0.3,"WCDMA 850 1900 2100 MHz, GSM 850 900 1900 1800 MHz","DLNA, audio jack 3.5 mm, Micro-USB 2.0 HS, corporate sync, BOTA, Wi-Fi 
2.4 GHz, 5 GHz 802.11 b/g/n, Bluetooth 2.1 EDR, 
HSPA+ at 14.4 Mbit/s","Feature webtop and laptop dock integration; power button is fingerprint 
sensor and can serve to lock phone"
Smartphone,Motorola,"Atrix HD, MB886",7/15/12,4,1280x720 HD,4.5 in ,110 mm,Snapdragon S4 Plus MSM8960,1024,8,Yes,8,1,"GSM 850/â€‹900/â€‹1800/â€‹1900 MHz; WCDMA 850/â€‹1900/â€‹2100/â€‹1700 MHz; HSPA+Category 14, HSDPA+ at 21.1 MB/s; 
LTE: Bands 4, 17","Micro-HDMI (Type D), DLNA, audio jack 3.5 mm, USB 2.0 HS via Micro-USB, 
corporate sync, BOTA; Wi-Fi 2.4 GHz, 5 GHz 802.11 a/b/g/n; Stereo Bluetooth 
Class 2 (4.0 LE)","ColorBoost, Feature webtop and laptop dock integration"
